ابا,ایین‌نامه‌بتن‌ایران
ش م ر,شیمیایی‌میکروبی‌رادیو‌اکتیو
ش م ه,شیمیایی‌میکروبی‌هسته‌ای
شابک,شماره‌استاندارد‌بین‌المللی‌کتاب
شامی,شاهمراد
شانا,شبکه‌اطلاع‌رسانی‌نفت‌و‌انرژی
شانا,شبکه‌اطلاع‌رسانی‌نفت‌و‌انرژی
شاپا,شماره‌استاندارد‌بین‌المللی‌پیایندها
شاک,شورای‌امنیت‌کشور
شبا,شماره‌حساب‌بانکی‌ایران
شبریز,شرکت‌پالایش‌نفت‌تبریز
شبنم,شبکه‌بازرسی‌و‌نظارت‌مردمی
شتاب,شبکه‌تبادل‌اطلاعات‌بین‌بانکی
شستا,شرکت‌سرمایه‌گذاری‌تامین‌اجتماعی
شفق,شورای‌هماهنگی‌فعالیت‌های‌قرانی
شما,شیر‌مدرسه‌ایران
شما,شهدای‌مؤتلفه‌اسلامی
شیت,شورای‌یاوری‌تهیدستان
ص,صلی‌الله‌علیه‌و‌اله‌و‌سلم
صاایران,صنایع‌الکترونیک‌ایران
صمت,صنعت‌‌معدن‌و‌تجارت
صها,صنایع‌هواپیمایی‌ایران
ع,علیه‌السلام
علیه السلام سلام الله علیها,عقیدتی‌سیاسی
عتف,علمی‌تخیلی‌و‌فانتزی
عج,عجل‌الله‌تعالی‌فرجه‌الشریف
عطف,وزارت‌علوم‌‌تحقیقات‌و‌فناوری
فاتب,فرماندهی‌انتظامی‌تهران‌بزرگ
فاشا,فرماندهی‌اطلاعات‌و‌شناسایی
فاوا,فن‌اوری‌اطلاعات‌و‌ارتباطات
فتا,پلیس‌فضای‌تولید‌و‌تبادل‌اطلاعات‌ایران
فرا,فعالان‌رسانه‌های‌دیجیتال‌انقلاب‌اسلامی
فردین,فروردین
فیپا,فهرست‌نویسی‌پیش‌از‌انتشار
ماجد,مرکز‌انتشارات‌جهاد‌دانشگاهی
مادیران,ماشین‌های‌اداری‌ایران
ماه,مرکز‌انرژی‌هسته‌ای
مبنا,مشاورین‌برگزیده‌نرم‌افزار
متما,مرکز‌مدیریت‌توسعه‌ملی‌اینترنت
محک,مؤسسات‌خیریه‌حمایت‌از‌کودکان‌مبتلا‌به‌سرطان
مخوال,مخابرات‌و‌الکترونیک
مرا تکاور,مرکز‌اموزش‌تکاور
مرا مخ,مرکز‌اموزش‌مخابرات
مرا پش,مرکز‌اموزش‌پشتیبانی
مراپ,مرکز‌اموزش‌پیاده
مراتو,مرکز‌اموزش‌توپخانه
مصاف,مبارزه‌با‌صهیونیسم‌‌اومانیسم‌و‌فراماسونری
مفدا,معاونت‌فرهنگی‌و‌دانشجویی
مپ,مدیریت‌پسماند
مپنا,مدیریت‌پروژه‌های‌نیروگاهی‌ایران
مکاترونیک,مکانیک‌کامپیوتر‌و‌الکترونیک
ن م,نیروهای‌مسلح
ناجا,نیروی‌انتظامی‌جمهوری‌اسلامی‌ایران
ناپوز,نشریه‌ایمنی‌پرواز‌و‌زمینی
ناکا,نشانگان‌اکتسابی‌کمبود‌ایمنی
نت,نگهداری‌و‌تعمیرات
نجات,نیروهای‌جهادی‌انقلابی‌تخصصی
نداجا,نیروی‌دریایی‌ارتش‌جمهوری‌اسلامی‌ایران
ندسا,نیروی‌دریایی‌سپاه‌پاسداران‌انقلاب‌اسلامی
نزاجا,نیروی‌زمینی‌ارتش‌جمهوری‌اسلامی‌ایران
نزاسا,نیروی‌زمینی‌سپاه‌پاسداران‌انقلاب‌اسلامی
نسیم,نشاط‌‌سلامتی‌‌یادها‌‌مسابقه
نقاب,نیروهای‌جهادی‌انقلابی‌تخصصی‌قیام‌ایران‌بزرگ
نمسا,نیروی‌مقاومت‌بسیج‌سپاه‌پاسداران‌انقلاب‌اسلامی
نهاجا,نیروی‌هوایی‌جمهوری‌اسلامی‌ایران
نهسا,نیروی‌هوایی‌سپاه
نوسا,نرم‌افزار‌و‌سخت‌افزار‌ایران
نوهد,نیروهای‌ویژه‌هوابرد
نوپا,نظام‌نوین‌اطلاعات‌پژوهشی‌ایران
نوپو,نیروی‌ویژه‌پایگاه‌اطلاع‌رسانی‌دولت‌وحشت
نیما,نظام‌یکپارچهٔ‌معاملات‌ارزی
هسا,هواپیما‌سازی‌ایران
هما,هواپیمائی‌ملی‌ایران
همت,هسته‌های‌مقاومت‌تاکتیکی
هواناجا,هواپیمایی‌نیروی‌انتظامی‌جمهوری‌اسلامی‌ایران
هوانیروز,هواپیمایی‌نیروی‌زمینی
واجا,وزارت‌اطلاعات‌جمهوری‌اسلامی‌ایران
وبدا,وزارت‌بهداشت‌‌درمان‌و‌اموزش
ودجا,وزارت‌دفاع‌جمهوری‌اسلامی‌ایران
پ ت ت,پست‌و‌تلگراف‌و‌تلفن
پ ن,پی‌نوشت
پاد,پایگاه‌اطلاع‌رسانی‌دولت
پاوا,پلیس‌اطلاعات‌و‌امنیت‌عمومی‌نیروی‌انتظامی‌جمهوری‌اسلامی‌ایران
پایا,پایاپای‌الکترونیک
پخ,پیغام‌خصوصی
پداجا,پدافند‌هوایی‌ارتش‌جمهوری‌اسلامی‌ایران
پداس,پایگاه‌داده‌املاک‌و‌ساختمان
پرهام,پیر‌همه
پروما,پروژه‌رفاهی‌و‌ملی‌ایران
پری,پروانه
پنها,پشتیبانی‌و‌نوسازی‌هلیکوپترهای‌ایران
په نه په,پس‌نه‌پس
پهپاد‌,پرنده‌هدایت‌پذیر‌از‌دور
پیامک,پیام‌کوتاه
چفخا,چفخا
چله,چند‌لایه
کات,کانون‌اصلاح‌و‌تربیت
کارا,درگاه‌الکترونیکی‌کارگزاران
کاچیران,کارخانه‌های‌چرخ‌خیاطی‌ایران
کاگو,کانون‌گسترش‌علوم
کله سر,کیمیا‌‌لیمیا‌‌هیمیا‌‌سیمیا‌و‌ریمیا
کلوت,کل‌و‌لوت
کلپچ,کله‌پاچه
گاج,گروه‌اموزشی‌جوکار
گد,گردان
گر,گروهان
گپار,گروه‌پشتیبانی‌اطلاعات‌رزمی
